comercio_id,nombre_comercio,categoria_mcc,industria,pais,ciudad,riesgo_comercio,antiguedad_meses,blacklist,metodos_pago_aceptados,fecha_alta,rating_promedio,url
M000001,Comercio Supermercado 0001,5411,SUPERMERCADO,GT,Guatemala,29.70,156,false,QR|TARJETA|TRANSFERENCIA,2013-06-28,3.61,https://comercio0001.example.com
M000002,Comercio Transporte 0002,4111,TRANSPORTE,CR,San Jose,39.95,146,false,TARJETA|LINK_PAGO|CRIPTO,2014-04-24,2.79,https://comercio0002.example.com
M000003,Comercio Transporte 0003,4111,TRANSPORTE,BR,Sao Paulo,24.63,154,false,TARJETA|QR|LINK_PAGO|CRIPTO,2013-08-27,3.91,https://comercio0003.example.com
M000004,Comercio Remitesas 0004,4829,REMITESAS,CO,Bogota,64.64,106,false,TRANSFERENCIA|CRIPTO|TARJETA|LINK_PAGO,2017-08-06,2.32,https://comercio0004.example.com
M000005,Comercio Restaurante 0005,5812,RESTAURANTE,ES,Madrid,24.64,94,false,TARJETA|TRANSFERENCIA|QR|LINK_PAGO,2018-08-01,4.14,https://comercio0005.example.com
M000006,Comercio E_Commerce 0006,5999,E_COMMERCE,MX,Monterrey,60.45,50,false,TRANSFERENCIA|TARJETA,2022-03-13,3.24,https://comercio0006.example.com
M000007,Comercio Electronica 0007,5732,ELECTRONICA,CL,Santiago,28.90,116,false,TRANSFERENCIA|LINK_PAGO,2016-10-10,3.95,https://comercio0007.example.com
M000008,Comercio E_Commerce 0008,5999,E_COMMERCE,SV,San Salvador,49.91,56,false,LINK_PAGO|TARJETA|CRIPTO|TRANSFERENCIA,2021-09-14,3.97,https://comercio0008.example.com
M000009,Comercio Servicios_Financieros 0009,6012,SERVICIOS_FINANCIEROS,EC,Quito,72.33,47,false,CRIPTO|LINK_PAGO,2022-06-11,1.81,https://comercio0009.example.com
M000010,Comercio Restaurante 0010,5812,RESTAURANTE,GT,Escuintla,26.99,8,false,TARJETA|CRIPTO,2025-08-24,4.52,https://comercio0010.example.com
M000011,Comercio Servicios_Financieros 0011,6012,SERVICIOS_FINANCIEROS,HN,Tegucigalpa,62.91,5,false,QR|TRANSFERENCIA,2025-11-22,3.82,https://comercio0011.example.com
